appId,name,agentType,agentSource,description,logoUrl,status,onlineTime,permission,agentMedalList,auditSign,deployChannels,figureTaskStatus,firstDeployWxMiniProgram,forceOfflineMessage,industryTemplateId,latestIndustryAgentBindType,memberInfo,message,modeType,offlinePluginNum,onlineIndustryAgentBindType,previewUrl,privatePluginNum,shareTag,speechStatus,tags,wxAuthList,xmiDeployInfo
Nt0Kfy4r6UJ0xSGsJmj46sBqBg9cLbOt,游戏联盟,1,1,游戏资源联盟，整合多平台资源，提供统一的游戏资源集合,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/522d1fd9-ea3d-4092-843b-376c3b3b168e.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",9,1767577500802,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
P7eYNvjc6ytXAJR3fjkppXJDm2DYV0YH,游戏资源星球,1,1,包罗万象的游戏资源星球，各类游戏资源应有尽有,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-07/f3dab729-0ab4-418d-abf6-9e26e7454b9a.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1768549097278,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
ipg4DwbRBuyHmTFYCJ5SsX4j1as4J0Xs,热游推荐官,1,1,专业的热门游戏推荐官，为你精选当下最值得玩的游戏,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/agent_logo/2026-01-07/76315e63-b41a-479f-97e1-d1a582d5a4df.png?x-bce-process=image/format,f_webp",6,1768548547557,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
V27Xci7dLi5elKZRkfdGKkA3msl66TCb,游戏资源星球,1,1,包罗万象的游戏资源星球，汇聚多类型优质游戏内容。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-10/1af83e05-3cb1-4f43-abb0-2a2df76fe0f5.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1768548054590,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
ujHacHZ2UyfA05vbykOIzyyOfELv6a4O,游戏秘籍宝库,1,1,多类型游戏内容整理库，汇集丰富作品，满足多样化体验需求。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-10/d15814d4-3c20-4200-8315-02d89fe26b5e.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1768033212689,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
GzQaHpJ5P6GNtn7obUoMeI9XVlrjOwFO,海量游戏秘境,1,1,综合型游戏内容集合空间，覆盖多样化游戏类型。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-10/77e82587-6f9c-4aed-ae4a-1782d0ea9ce2.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1768033157775,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
yGXuFKYLgg3pKGVpKTSahecXddNNDZha,神级游戏库,1,1,收藏级神作游戏资料库，集中呈现行业公认的顶尖作品，帮你快速锁定真正的好游戏。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/agent_logo/2026-01-10/5b74f7c8-f531-460f-a971-629a8ada95c0.JPEG?x-bce-process=image/format,f_webp",6,1768032623831,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
XTTfqcVU7x5IUcEgJ3DoxXm5dvWkmJwV,游戏安利站,1,1,专门安利好游戏的地方，把好玩、有意思的游戏分享给大家。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/agent_logo/2026-01-10/af5db3df-bb24-44ce-91ef-32382b15359e.png?x-bce-process=image/format,f_webp",6,1768032612519,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
azdnGnVNsGoZvauVklRY1YLDz1q3DHqF,必玩神作合集,1,1,聚合玩家公认的必玩佳作，打造高品质游戏合集。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-10/1e242a7a-3e04-4578-bc6e-97bd5788bf0e.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1768032556267,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
Nw9CtgJH3vJ1hYx6otP4F5eeglk2F2Xp,必玩游戏清单,1,1,精选玩家必玩的游戏清单，错过任何一款都是遗憾,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/agent_logo/2026-01-07/decbb65a-437a-47c7-bdc8-13a9e5f0b1a7.png?x-bce-process=image/format,f_webp",6,1767830602263,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
0eHd37zUm0naop28hLcswlbNuP9iqE4j,爆款游戏大本营,1,1,汇聚当下最火爆游戏的大本营，紧跟潮流玩遍所有热门大作,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-07/be925180-5336-4125-bf67-ee07d95bd4da.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767830550143,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
fHPAgPGPrHNU0Jan4bS6ChN8TXGV3eIK,游戏种草机,1,1,专业的游戏种草推荐官，帮你发现那些让人欲罢不能的宝藏游戏,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-07/71d1c4bb-bf90-4f43-a6ed-8ba887111bab.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767830508754,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
sOWBSUmvNmBU6mnyS4GqvgHXBmnzxRNY,百万游戏合集,1,1,汇聚百万款游戏资源的超级合集，无论你想玩什么类型的游戏这里都能找到,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-07/32e902e3-a567-49a6-9571-015b2ba47f10.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767830486834,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
d6Rk5tILQKOZpPksGUhvhDJjYzBwYvoF,游戏聚落,1,1,充满社区感的游戏聚落，聚集丰富游戏资源，促进游戏策略关卡分享,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/252a4292-ea42-484d-a953-b07716c75651.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767577764859,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
V5Uyw43tQrcx2Nj0HBbNWkOJ8uhWj6GC,游戏工坊,1,1,游戏工坊，一个精心整理和提供优质游戏资源智能体,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/e16e0bd9-75d6-40d0-81d2-dae3b8139f06.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767577706254,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
ZSiHw3w5PNHrSLz4jVzGgdhyR6XSVCQf,游戏空间,1,1,现代开放的游戏空间，让用户自由浏览和获取游戏资源,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/7bce43e4-000e-4c00-ad20-aa931f4a88ae.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767577704702,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
WWJybPnzyYvaSWNQ90H6xZz1FHO9CKsA,游戏盒子,1,1,装满游戏资源的盒子，提供丰富的游戏内容供用户选择,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/28a45dec-a299-4fe4-8b98-d991430705f9.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767577602317,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
NiUqoCcONUFHMmO3J7alxFbY8SjKZmZ0,游戏中心,1,1,提供一站式游戏推荐和资源导航服务,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/786a6b5f-59f6-4393-89d0-0d465c8458f2.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767577592196,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
